date,labour_force,registered_job_seekers,registered_unemployed_sa,unemployment_rate_sa,job_seeker_rate,log_registered_unemployed_sa_pct,registered_unemployed_sa_change_mom,log_registered_job_seekers_pct,registered_job_seekers_change_mom,chf_neer,snb_chf_neer,eur_chf,usd_chf,log_chf_neer_pct,chf_neer_appreciation_mom,log_snb_chf_neer_pct,snb_chf_neer_appreciation_mom,log_eur_chf_appreciation_pct,eur_chf_appreciation_mom,log_usd_chf_appreciation_pct,usd_chf_appreciation_mom
2004-03-01,3946988.0,228212.0,155129.51167494,3.93032641,5.781927890330551,1195.2015606209293,0.8680489435882919,1233.8030300478904,-1.3704239732617225,66.85,108.0951,1.5670434782608695,1.2777782608695651,420.2451303547952,-0.5668272932993546,468.301139521817,-0.5492998585556848,-44.91907091669297,0.4070418318797806,-24.51228361047471,-2.6139505467960156
2004-04-01,3946988.0,222858.0,154039.41465665,3.90270795,5.64628015083907,1194.496378797778,-0.7051818231511788,1231.4290076316856,-2.3740224162047525,66.81,108.0351,1.5546950000000002,1.2968772727272726,420.18527699373857,-0.05985336105663919,468.24561743231595,-0.05552208950103932,-44.127938491384235,0.7911324253087315,-25.995927689979347,-1.4836440795046357
2004-05-01,3946988.0,216377.0,153987.93049339,3.90140356,5.482078992892808,1194.4629504904863,-0.03342830729184243,1228.4777535647809,-2.9512540669047667,67.86,109.7663,1.5400380952380952,1.283905,421.7446759356084,1.5593989418698584,469.83535602895586,1.5897385966399042,-43.18071532871734,0.9472231626668943,-24.99062149916157,1.0053061908177767
2004-06-01,3946988.0,212588.0,154598.0181423,3.91686061,5.386081741317684,1194.8583595792618,0.39540908877552283,1226.711129927062,-1.7666236377187943,68.87,111.4029,1.5192,1.2502681818181818,423.22206695566075,1.4773910200523233,471.31533594703274,1.4799799180768787,-41.818388051593914,1.362327277123427,-22.335807375717042,2.6548141234445275
2004-07-01,3946988.0,210740.0,153115.15228908,3.87929105,5.33926122906885,1193.8945546631533,-0.9638049161085291,1225.8380425153518,-0.8730874117102303,68.66,111.0827,1.5270363636363635,1.2451761904761904,422.9166788029546,-0.3053881527061435,471.02749689490986,-0.28783905212287664,-42.33288397292214,-0.5144959213282263,-21.92770383586505,0.408103539851993
2004-08-01,3946988.0,212785.0,153230.30458595,3.88220852,5.391072888997889,1193.9697327339939,0.07517807084059314,1226.8037545243376,0.9657120089857472,68.07,110.147,1.538740909090909,1.2622909090909091,422.053658745986,-0.863020056968594,470.1815837289622,-0.8459131659476498,-43.096449051591165,-0.7635650786690249,-23.292825188978455,-1.3651213531134054
2004-09-01,3946988.0,213733.0,153524.0350144,3.88965041,5.41509120372294,1194.1612413650407,0.19150863104687232,1227.2482851472414,0.4445306229038124,67.96,109.918,1.5431045454545456,1.2629142857142857,421.89192968037315,-0.16172906561286027,469.97346332575614,-0.20812040320606684,-43.37963257549604,-0.28318352390487433,-23.342197543931782,-0.04937235495332715
2004-10-01,3946988.0,215504.0,152316.52503765,3.85905721,5.459960861294739,1193.371603619911,-0.7896377451297667,1228.0734749838596,0.8251898366181649,68.37,110.5636,1.5426047619047618,1.232995,422.49341319257024,0.6014835121970918,470.5590920994311,0.585628773674955,-43.34723914472393,0.03239343077211032,-20.94461690239446,2.3975806415373206
2004-11-01,3946988.0,222102.0,151801.6611109,3.84601273,5.627126304919093,1193.0330086643346,-0.33859495557635455,1231.0892014794697,3.0157264956101244,69.87,112.9205,1.5216454545454545,1.1711399999999998,424.66363725643595,2.170224063865703,472.66840312890525,2.1093110294741564,-41.97922852239069,1.3680106223332373,-15.797763340443712,5.146853561950749
2004-12-01,3946988.0,227634.0,148617.76029688,3.76534614,5.767283812365277,1190.913292159979,-2.119716504355665,1233.5494354963266,2.46023401685693,69.66,112.6086,1.536382608695652,1.1464521739130435,424.36262649378546,-0.30101076265049187,472.3918089343224,-0.27659419458285583,-42.94306979095689,-0.963841268566199,-13.667210758576237,2.130552581867475
